Resume_ID,Job Role,Skills,Experience (Years),Education,Recruiter Decision,AI Score (0-100),sentiment_score,sentiment_label
1,AI Researcher,"TensorFlow, NLP, Pytorch",10,B.Sc,Hire,100.0,0.0,neutral
2,Data Scientist,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Hire,100.0,0.0,neutral
3,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Hire,70.0,0.38636000000000004,positive
4,AI Researcher,"Python, Pytorch, TensorFlow",7,B.Tech,Hire,95.0,0.0,neutral
5,Software Engineer,"SQL, React, Java",4,PhD,Hire,100.0,0.0,neutral
6,Cybersecurity Analyst,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Hire,100.0,0.38636000000000004,positive
7,Cybersecurity Analyst,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,Hire,100.0,0.38636000000000004,positive
8,AI Researcher,"TensorFlow, Pytorch, NLP",3,M.Tech,Hire,90.0,0.0,neutral
9,Cybersecurity Analyst,"Networking, Ethical Hacking",7,MBA,Hire,100.0,0.38636000000000004,positive
10,AI Researcher,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,Reject,35.0,0.0,neutral
11,Software Engineer,"SQL, Java, C++",1,PhD,Hire,70.0,0.0,neutral
12,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Networking",0,MBA,Reject,50.0,0.38636000000000004,positive
13,Cybersecurity Analyst,"Cybersecurity, Networking",0,M.Tech,Hire,65.0,0.0,neutral
14,Software Engineer,"SQL, C++, Java",4,B.Sc,Hire,100.0,0.0,neutral
15,AI Researcher,"Pytorch, NLP",0,M.Tech,Reject,45.0,0.0,neutral
16,Cybersecurity Analyst,"Cybersecurity, Networking",1,PhD,Reject,60.0,0.0,neutral
17,Data Scientist,"SQL, Python",10,PhD,Hire,100.0,0.0,neutral
18,Cybersecurity Analyst,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,Hire,80.0,0.38636000000000004,positive
19,Data Scientist,"SQL, Python, Deep Learning",3,MBA,Hire,95.0,0.0,neutral
20,Data Scientist,"Machine Learning, SQL, Python",10,B.Tech,Hire,100.0,0.0,neutral
21,Software Engineer,"SQL, Java, C++, React",5,B.Sc,Hire,90.0,0.0,neutral
22,AI Researcher,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Hire,100.0,0.0,neutral
23,Data Scientist,"Machine Learning, Deep Learning, SQL",4,MBA,Hire,100.0,0.0,neutral
24,AI Researcher,"TensorFlow, Pytorch, NLP, Python",8,MBA,Hire,100.0,0.0,neutral
25,AI Researcher,"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Hire,80.0,0.0,neutral
26,AI Researcher,"Python, NLP",7,B.Tech,Hire,100.0,0.0,neutral
27,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity",3,B.Sc,Reject,60.0,0.38636000000000004,positive
28,AI Researcher,"Pytorch, NLP",1,M.Tech,Reject,45.0,0.0,neutral
29,AI Researcher,"NLP, Pytorch, Python",10,B.Tech,Hire,100.0,0.0,neutral
30,Data Scientist,"SQL, Python",10,B.Tech,Hire,100.0,0.0,neutral
31,Data Scientist,"Python, SQL",4,PhD,Hire,100.0,0.0,neutral
32,Cybersecurity Analyst,"Ethical Hacking, Networking, Linux",1,B.Sc,Hire,75.0,0.38636000000000004,positive
33,Data Scientist,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,Hire,100.0,0.0,neutral
34,AI Researcher,"TensorFlow, Python, Pytorch",9,B.Sc,Hire,100.0,0.0,neutral
35,Cybersecurity Analyst,"Networking, Linux, Ethical Hacking",0,M.Tech,Hire,75.0,0.38636000000000004,positive
36,AI Researcher,"NLP, Pytorch",7,PhD,Hire,100.0,0.0,neutral
37,AI Researcher,"Python, NLP",7,M.Tech,Hire,100.0,0.0,neutral
38,Software Engineer,"C++, SQL, Java",5,B.Tech,Hire,100.0,0.0,neutral
39,Cybersecurity Analyst,"Linux, Cybersecurity",7,PhD,Hire,80.0,0.0,neutral
40,Data Scientist,"SQL, Python",1,MBA,Hire,70.0,0.0,neutral
41,Software Engineer,"C++, React",10,MBA,Hire,100.0,0.0,neutral
42,Cybersecurity Analyst,"Networking, Linux",1,M.Tech,Hire,80.0,0.0,neutral
43,AI Researcher,"NLP, TensorFlow, Python",3,M.Tech,Hire,95.0,0.0,neutral
